Facility,facility_id,Tracing Catchment
 Khombedza Health Centre,99771,Kasonda
 Khombedza Health Centre,99771,Makombe
 Khombedza Health Centre,99771,Kasakula
 Khombedza Health Centre,99771,Mwansambo
 Khombedza Health Centre,99771,Mpanje
 Khombedza Health Centre,99771,Chikho
 Khombedza Health Centre,99771,Namilaza
 Khombedza Health Centre,99771,Kanyezi
 Khombedza Health Centre,99771,Sitima
 Khombedza Health Centre,99771,Lamphasa
 Khombedza Health Centre,99771,Kaniche
 Khombedza Health Centre,99771,Nabwenje
 Khombedza Health Centre,99771,Nakudze
 Khombedza Health Centre,99771,Chilundu
 Khombedza Health Centre,99771,Mkombozi
 Khombedza Health Centre,99771,Chimonjo
 Khombedza Health Centre,99771,Davite
 Khombedza Health Centre,99771,Sombwa
 Khombedza Health Centre,99771,Levi
 Khombedza Health Centre,99771,Chapalapata
 Khombedza Health Centre,99771,Roman
 Khombedza Health Centre,99771,Chembe
 Khombedza Health Centre,99771,Mpira
 Khombedza Health Centre,99771,Chekwache
 Khombedza Health Centre,99771,Kambewa
 Khombedza Health Centre,99771,Malichi
 Khombedza Health Centre,99771,Mphemvu
 Khombedza Health Centre,99771,Chikaola
 Khombedza Health Centre,99771,Mbalame
 Khombedza Health Centre,99771,Jabesi
 Khombedza Health Centre,99771,Yotamu
 Khombedza Health Centre,99771,Kawolemayani
 Khombedza Health Centre,99771,Kumalanga
 Khombedza Health Centre,99771,Mwalala
 Khombedza Health Centre,99771,Mchocho
 Khombedza Health Centre,99771,Chiipa
 Khombedza Health Centre,99771,Mtekeso
 Khombedza Health Centre,99771,Chinyama
 Khombedza Health Centre,99771,Matika
 Khombedza Health Centre,99771,Reuben
 Khombedza Health Centre,99771,Chataika
 Khombedza Health Centre,99771,Mtalimanja
 Khombedza Health Centre,99771,Chomba
 Khombedza Health Centre,99771,Maphoza
 Khombedza Health Centre,99771,Chikafa
 Khombedza Health Centre,99771,Magadi
 Khombedza Health Centre,99771,Mwandinda
 Khombedza Health Centre,99771,Kundang'ombe
 Khombedza Health Centre,99771,Sombe
