Facility,facility_id,Tracing Catchment
 Makiyoni Health Center,102,Imani
 Makiyoni Health Center,102,Msendekera
 Makiyoni Health Center,102,Ngwata
 Makiyoni Health Center,102,Kaniche
 Makiyoni Health Center,102,Nakudze
 Makiyoni Health Center,102,Sitima 1
 Makiyoni Health Center,102,Kavukula
 Makiyoni Health Center,102,Katsichi
 Makiyoni Health Center,102,Mwanza
 Makiyoni Health Center,102,Pembera
 Makiyoni Health Center,102,Chapsinda
 Makiyoni Health Center,102,Mbuna 1
 Makiyoni Health Center,102,Chikwakwa
 Makiyoni Health Center,102,Mwadyakale
 Makiyoni Health Center,102,Chilenga
 Makiyoni Health Center,102,Michulu
 Makiyoni Health Center,102,Kambandanga
 Makiyoni Health Center,102,Njati
 Makiyoni Health Center,102,Chilambi
 Makiyoni Health Center,102,Maseko
 Makiyoni Health Center,102,Mpapasa
 Makiyoni Health Center,102,Chimeza
 Makiyoni Health Center,102,Manjawira
 Makiyoni Health Center,102,Kanjere
 Makiyoni Health Center,102,Chiluwa
 Makiyoni Health Center,102,Kasakula
 Makiyoni Health Center,102,Zikaola
 Makiyoni Health Center,102,Tsawala
 Makiyoni Health Center,102,Mbirizi
 Makiyoni Health Center,102,Mnungu
 Makiyoni Health Center,102,Kasache
 Makiyoni Health Center,102,Mbuna 2
 Makiyoni Health Center,102,Matekeni
 Makiyoni Health Center,102,Chikwasa
 Makiyoni Health Center,102,Chiwaka
 Makiyoni Health Center,102,Masasa
 Makiyoni Health Center,102,Kanongola
 Makiyoni Health Center,102,Katoma
 Makiyoni Health Center,102,Chidzuma
 Makiyoni Health Center,102,Masteni
 Makiyoni Health Center,102,Ngolovani
 Makiyoni Health Center,102,Kumkokota
 Makiyoni Health Center,102,Chinyama
 Makiyoni Health Center,102,Champhepete
 Makiyoni Health Center,102,Mnukwa 1
 Makiyoni Health Center,102,Sitima 2
 Makiyoni Health Center,102,Diso
 Makiyoni Health Center,102,Chilunga
 Makiyoni Health Center,102,Mthumba
 Makiyoni Health Center,102,Jason
 Makiyoni Health Center,102,Sole
 Makiyoni Health Center,102,Sele
 Makiyoni Health Center,102,Chifundo 2
 Makiyoni Health Center,102,Malata 1
 Makiyoni Health Center,102,M'dodo
 Makiyoni Health Center,102,Mnukwa 2
 Makiyoni Health Center,102,Bvumatani
 Makiyoni Health Center,102,Moya
 Makiyoni Health Center,102,Mataka
 Makiyoni Health Center,102,Loveti
 Makiyoni Health Center,102,Chinsolo
 Makiyoni Health Center,102,Mkupatira 1&2
 Makiyoni Health Center,102,Mandawa
 Makiyoni Health Center,102,Chikawo
